Date,SNR,BER,PER
14.09.2015-12-06-44,14.58,0.00084373,0.01500000
14.09.2015-12-10-05,14.58,0.00102192,0.01340000
14.09.2015-12-13-28,14.59,0.00109223,0.01280000
14.09.2015-12-16-49,14.64,0.00057245,0.00760000
14.09.2015-12-20-11,14.67,0.00049630,0.00750000
14.09.2015-12-23-32,14.70,0.00040938,0.00730000
14.09.2015-12-26-53,14.71,0.00035687,0.00750000
14.09.2015-12-30-16,14.73,0.00043067,0.00670000
14.09.2015-12-33-37,14.74,0.00044905,0.00750000
14.09.2015-12-36-58,14.74,0.00028862,0.00860000
14.09.2015-12-40-20,14.75,0.00045142,0.00660000
14.09.2015-12-43-41,14.75,0.00041265,0.00660000
14.09.2015-12-47-02,14.75,0.00058042,0.00810000
14.09.2015-12-50-24,14.75,0.00081020,0.00790000
14.09.2015-12-53-45,14.74,0.00072897,0.00800000
14.09.2015-12-57-06,14.73,0.00081397,0.01190000
14.09.2015-13-00-28,14.72,0.00106857,0.01160000
14.09.2015-13-03-49,14.70,0.00061228,0.01060000
14.09.2015-13-07-11,14.70,0.00073555,0.01160000
14.09.2015-13-10-32,14.68,0.00110965,0.01440000
14.09.2015-13-13-54,14.67,0.00095643,0.01320000
14.09.2015-13-17-15,14.66,0.00122510,0.01530000
14.09.2015-13-20-37,14.65,0.00099000,0.01650000
14.09.2015-13-23-59,14.63,0.00134153,0.01700000
14.09.2015-13-27-21,14.63,0.00139437,0.01550000
14.09.2015-13-30-42,14.62,0.00109655,0.01590000
14.09.2015-13-34-04,14.62,0.00085357,0.01270000
14.09.2015-13-37-25,14.61,0.00086230,0.01060000
14.09.2015-13-40-46,14.61,0.00073872,0.00860000
14.09.2015-13-44-08,14.62,0.00096395,0.01400000
14.09.2015-13-47-29,14.62,0.00036738,0.00850000
14.09.2015-13-50-51,14.62,0.00050290,0.01090000
14.09.2015-13-54-12,14.62,0.00082272,0.01150000
14.09.2015-13-57-33,14.62,0.00041073,0.00960000
14.09.2015-14-00-55,14.63,0.00063408,0.01020000
14.09.2015-14-04-16,14.63,0.00052593,0.00820000
14.09.2015-14-07-37,14.63,0.00101333,0.01110000
14.09.2015-14-10-59,14.64,0.00055610,0.00850000
14.09.2015-14-14-20,14.64,0.00083410,0.01280000
14.09.2015-14-17-41,14.64,0.00064365,0.00900000
14.09.2015-14-21-03,14.65,0.00043435,0.00840000
14.09.2015-14-24-24,14.65,0.00052865,0.01000000
14.09.2015-14-27-45,14.65,0.00071612,0.01260000
